Product_ID,Product_Name,Gender,Category,Subcategory,Color,Price,Season
479208,Zip-Up Short Jacket,Female,Outerwear,Jacket,56 OLIVE,$59.90,Fall/Winter
479208,Zip-Up Short Jacket,Female,Outerwear,Jacket,09 BLACK,$59.90,Fall/Winter
479208,Zip-Up Short Jacket,Female,Outerwear,Jacket,30 NATURAL,$59.90,Fall/Winter
479208,Zip-Up Short Jacket,Female,Outerwear,Jacket,32 BEIGE,$59.90,Fall/Winter
479208,Zip-Up Short Jacket,Female,Outerwear,Jacket,69 NAVY,$59.90,Fall/Winter
478279,Seamless Down Parka,Male,Outerwear,Jacket,09 BLACK,$179.90,Fall/Winter
478279,Seamless Down Parka,Male,Outerwear,Jacket,08 DARK GRAY,$179.90,Fall/Winter
478279,Seamless Down Parka,Male,Outerwear,Jacket,37 BROWN,$179.90,Fall/Winter
478279,Seamless Down Parka,Male,Outerwear,Jacket,69 NAVY,$179.90,Fall/Winter
478568,PUFFTECH Compact Jacket,Female,Outerwear,Jacket,70 LIGHT PURPLE,$69.90,Fall/Winter
478568,PUFFTECH Compact Jacket,Female,Outerwear,Jacket,01 OFF WHITE,$69.90,Fall/Winter
478568,PUFFTECH Compact Jacket,Female,Outerwear,Jacket,09 BLACK,$69.90,Fall/Winter
478568,PUFFTECH Compact Jacket,Female,Outerwear,Jacket,19 WINE,$69.90,Fall/Winter
478568,PUFFTECH Compact Jacket,Female,Outerwear,Jacket,32 BEIGE,$69.90,Fall/Winter
478568,PUFFTECH Compact Jacket,Female,Outerwear,Jacket,56 OLIVE,$69.90,Fall/Winter
474964,AIRism Soft Jacket,Female,Outerwear,Jacket,00 WHITE,$39.90,Spring/Summer
474964,AIRism Soft Jacket,Female,Outerwear,Jacket,09 BLACK,$39.90,Spring/Summer
474964,AIRism Soft Jacket,Female,Outerwear,Jacket,69 NAVY,$39.90,Spring/Summer
479751,PUFFTECH Jacket,Female,Outerwear,Jacket,73 PURPLE,$79.90,Fall/Winter
479751,PUFFTECH Jacket,Female,Outerwear,Jacket,59 DARK GREEN,$79.90,Fall/Winter
479751,PUFFTECH Jacket,Female,Outerwear,Jacket,39 DARK BROWN,$79.90,Fall/Winter
479751,PUFFTECH Jacket,Female,Outerwear,Jacket,11 PINK,$79.90,Fall/Winter
479751,PUFFTECH Jacket,Female,Outerwear,Jacket,09 BLACK,$79.90,Fall/Winter
